"paper","authors","title","position","contribution ID"
"TUPS16","H.B. Wang, B. Hai, Z. Huang, N. Khan, J. Li, X.N. Li, X. Ma, L.J. Mao, R.S. Mao, W.Q. Wen, J.X. Wu, J.C. Yang, D.Y. Yin, Y.J. Yuan, D. Zhao, T.C. Zhao, X. Zhu, S.A. Litvinov, D.F.A. Winters, M.H. Bussmann, D. Kiefer, S. Klammes, T. Walther, D.Y. Chen, D. Zhang, H.Y. Zhang","Laser Cooling of Relativistic Lithium-like 16O5+ Ion Beams at the CSRe",,1661
"TUPS17","K.G. Osipov, V.V. Filimonov, A.O. Sidorin, I.V. Gorelyshev","Parameter Optimization of Ring Slot Coupler Pickup and Kicker for the NICA Stochastic Cooling System",116,1563
"TUPS18","I.V. Gorelyshev, A.O. Sidorin, N. Shurkhno, R. Stassen, V.V. Filimonov, A.V. Shemchuk","Phase Step Method for Friction Force Measurement in Filter Stochastic Cooling",119,1481
"TUPS19","X.J. Hu, J.X. Wu, Y.J. Yuan, G. Zhu","Stochastic Cooling Simulation of Rare Isotope Beams on the Spectrometer Ring of the High Energy and High Intensity Accelerator Facility",123,1081
"TUPS20","A.V. Petrenko","Laser Cooling at Ultrarelativistic Energies and the Gamma Factory Based on the LHC",,1181
"TUPS21","N.S. Kremnev, M.I. Bryzgunov, A.V. Bubley, V.M. Panasyuk, V.V. Parkhomchuk, A.A. Putmakov, S.V. Shiyankov, V.B. Reva","Adjusting Unit of Longitudinal Field Coils for NICA HV Electron Cooler's Solenoid",127,1721
"TUX01","M.I. Bryzgunov, E.A. Bekhtenev, A.V. Bubley, V.A. Chekavinskiy, A.P. Denisov, A.D. Goncharov, I.A. Gusev, G.V. Karpov, M.N. Kondaurov, N.S. Kremnev, V.M. Panasyuk, V.V. Parkhomchuk, V.A. Polukhin, A.A. Putmakov, D.V. Senkov, A.A. Zharikov, V.B. Reva, A.G. Kobets, S.A. Melnikov, I.N. Meshkov, O. Orlov, S.V. Semenov, A.S. Sergeev, A.A. Sidorin, A.V. Smirnov","Status of the Electron Cooler for NICA Booster and Results of its Commissioning",22,1461
"TUX02","A. Wolf, M. Grieser, A. Kálosi, C. Krantz, O. Novotny, D. Paul, P. Wilhelm, A.S. Terekhov","Electron Cooling in the Low-Energy Electrostatic Ion Storage Ring CSR at Electron Energies down to 10 eV",,1341
"TUX03","N. Shurkhno","Control of Stochastic Cooling Systems",,1482
"TUY01","N.A. Vinokurov, V.V. Parkhomchuk, A.N. Skrinsky","RF Accelerator for Electron Cooling of Ultrarelativistic Hadrons",26,1161
"TUY02","D.M. Kaplan, K.R. Long","Progress in Muon Ionization Cooling Demonstration with MICE",29,1101
"TUZ01","V. Litvinenko, Z. Altinbas, J.C. Brutus, A. Di Lieto, D.M. Gassner, T. Hayes, P. Inacker, J.P. Jamilkowski, Y.C. Jing, R. Kellermann, J. Ma, G.J. Mahler, M. Mapes, R.J. Michnoff, K. Mihara, T.A. Miller, M.G. Minty, G. Narayan, M.C. Paniccia, D. Phillips, I. Pinayev, T. Roser, S.K. Seberg, F. Severino, J. Skaritka, L. Smart, K.S. Smith, Z. Sorrell, R. Than, J.E. Tuozzolo, E. Wang, G. Wang, Y.H. Wu, B. P. Xiao, T. Xin, A. Zaltsman, K. Shih, I. Petrushina","Coherent Electron Cooling Experiment at RHIC: Status and Plans",35,1221
"WEA01","D.M. Kaplan, C. Brown","Transverse/Longitudinal Emittance Exchange in MICE",,1103
"WEX01","A.V. Fedotov","Cooling Commissioning Results of First RF-Based Electron Cooler LEReC",,1521
"WEX02","I.V. Pogorelov, D.L. Bruhwiler, Y.I. Eidelman","Magnetized Dynamic Friction Force for Times Short Compared to Plasma Period",,1662
"WEX03","D. Gamba, C. Carli, T. Eriksson, L. Ponce, G. Tranquille","ELENA Commissioning",52,1641
"WEY01","L.V. Grigorenko","DERICA - Prospective Facility for Radioactive Ion  Studies in Storage Rings and Electron Collider",,1541
