"paper","authors","title","position","contribution ID"
"THP005","M. Vogt, K. Honkavaara, J. Roensch-Schulenburg, S. Schreiber, J. Zemella","Refurbishment and Upgrade Plans for FLASH for the Years After 2020",,1301
"THP006","J. Zemella","Optics & Compression Schemes for the FLASH 2020+ Upgrade Program",,1303
"THP007","Y. Chen, J.D. Good, M. Gross, P.W. Huang, I.I. Isaev, C. Koschitzki, M. Krasilnikov, S. Lal, X. Li, O. Lishilin, G. Loisch, D. Melkumyan, R. Niemczyk, A. Oppelt, H.J. Qian, H. Shaker, G. Shu, F. Stephan, G. Vashchenko, F. Brinker, W. Decking","Frequency-Detuning Dependent Transient Coaxial RF Coupler Kick",599,1722
"THP008","D.B. Bazyl, H. De Gersem, W.F.O. Müller, J. Enders, S. Weih","Design of a Multi-Cell SRF Reduced-Beta Cavity for the Acceleration of Low Energy Electron Beams",603,2446
"THP009","S. A. Schmid, H. De Gersem, E. Gjonaj, M. Krasilnikov, M. Dohlus","Space Charge Field Beam Dynamics Simulations for the THz SASE FEL at PITZ",606,1783
"THP010","S. Di Mitri, R. Fabris, S. Spampinati, N. Thompson, G. De Ninno","Simple and Robust Free Electron Laser Doubler",609,1805
"THP011","S. Di Mitri, L. Sturari, C. Venier, R. Vescovo","Experimental Benchmarking of Wakefields at the FERMI FEL Linac and Undulator Line",613,1808
"THP012","M. Placidi, G. Penn, S. Di Mitri, C. Pellegrini","Compact FEL-Driven Inverse Compton Scattering Gamma-Ray Source",617,1804
"THP013","S. Di Mitri, N. Adhlakha, E. Allaria, L. Badano, P. Di Pietro, G. Gaio, G. Penco, A. Perucchi, P. Rebernik Ribic, S. Spampinati, C. Spezzani, M. Trovo, M. Veronese, S. Lupi, L. Giannessi, E. Roussel, G. De Ninno, F. Piccirilli","User Operation of Sub-Picosecond THz Coherent Transition Radiation Parasitic to a VUV FEL",621,1802
"THP015","Y. Yu, Z. Chen, G.K. Cheng, D.X. Dai, H.L. Ding, Z.G. He, L. Huang, Q.M. Li, Z.B. Li, L. Shi, J.T. Sun, K. Tao, Y.H. Tian, G.L. Wang, Z.Q. Wang, G.R. Wu, J.Y. Yang, X.M. Yang, W.Q. Zhang","The X-Band Linear Compression System in Dalian Coherent Light Source",625,2167
"THP016","D. Huang, D. Gu, M. Zhang","Study of Microbunching Instability in SHINE Linac",629,2141
"THP017","J.W. Yan, H.X. Deng","Large Bandwidth X-Ray Free Electron Laser Operation Mode of SXFEL User Facility.",,2445
"THP018","J.W. Yan, H.X. Deng, B. Liu, D. Wang","Transverse Deflecting Structure Dynamics for Time-Resolved Machine Studies of Shine",632,1401
"THP020","X.J. Deng, W.-H. Huang, C.-X. Tang, A. Chao","Microbunching Enhancement by Adiabatic Trapping",635,1222
"THP022","Y. Zhang, X.J. Deng, W.-H. Huang, Z. Pan, C.-X. Tang","A General Optimization Method for High Harmonic Generation Beamline",638,1242
"THP024","Yu.S. Oparina, V.L. Bratman, A.V. Savilov, N. Balal, Yu. Lurie","Spontaneous Coherent Radiation of Stabilized Dense Electron Bunches",643,1881
"THP027","A.S. Matveev, I.V. Davidyuk, N.A. Vinokurov, O.A. Shevchenko, V.G. Tcheskidov, V. Volkov","Simulation and Optimization of the Transport Beamline for the NovoFEL RF Gun",647,1867
"THP028","S. Bettoni, A. Dax, E. Ferrari, M. Huppert, A. Trisorio, C. Vicario","Laser Heater Commissioning at the SwissFEL Facility",,2281
