"paper","authors","title","position","contribution ID"
"MOP012","Y. Wang, X.T. Lu, J.Y. Wei, L.P. Wen, Z.G. Yin, T.J. Zhang","A Digital Approach of Beam Phase Measurement and Regulation System",,1667
"MOP013","G. Gallo, L. Allegra, L. Calabretta, A.C. Caruso, G. Costa, E. Messina, M.S. Musumeci, D. Rifuggiato, E. Zappalà","Mechanical Modifications of the Median Plane for the Superconducting Cyclotron Upgrade",51,1481
"MOP014","L. Neri, L. Allegra, L. Calabretta, G. Costa, G. D'Agostino, G. Gallo, D. Rifuggiato, A.D. Russo, G. Torrisi","3D Magnetic Optimization of the New Extraction Channel for the LNS Superconducting Cyclotron",54,1541
"MOP016","A.H. Barnard, J.I. Broodryk, J.L. Conradie, J.G. De Villiers, J. Mira, F. Nemulodi, R.W. Thomae","Vertical Focussing with a Field Gradient Spiral Inflector",58,1741
"MOP017","S.L. Bogomolov, A.A. Efremov, K.I. Kuzmenkov, D.K. Pugachev, Yu. Yazvitsky, J.L. Conradie, D.T. Fourie, N.Y. Kheswa, J. Mira, F. Nemulodi, R.W. Thomae","Research on Metallic Ion Beam Production With Electron Cyclotron Resonance Ion Sources",62,1341
"MOP018","N.Yu. Kazarinov, J. Franko, G.G. Gulbekyan, I.A. Ivanenko, I.V. Kalagin","Simulation of the Axial Injection Beam Line of DC140 Cyclotron of FLNR JINR",66,1569
"MOP019","I.A. Ivanenko, G.G. Gulbekyan, G.N. Ivanov, I.V. Kalagin, V.A. Semin","The Results of Magnetic Field Formation and Commissioning of Heavy-Ion Isochronous Cyclotron DC280",70,1301
"MOP020","N.Yu. Kazarinov, G.G. Gulbekyan, I.A. Ivanenko","Simulation of the Beam Extraction System of DC140 Cyclotron of FLNR JINR",73,1570
"MOP021","N.Yu. Kazarinov, I.A. Ivanenko, T. Adam, F.R. Osswald, E.K. Traykov","Simulation of Beam Extraction from TR24 Cyclotron at IPHC",76,1572
"MOP022","M. Cihak, R. Behal, P. Krist, T. Matlocha, J. Stursa, V. Zach","Project of a Novel Multi-Orbital Beam Bunching and Extraction from the U-120M Cyclotron",80,1628
"MOP023","P. Krist, D. Poklop, J. Stursa, V. Cervenka, J. Vozáb","Synchronization and High Speed High Voltage Switcher for Pulse Bunching System of the Cyclotron U-120M",83,1682
"MOP024","R. Dölling, G.G. Gamma, V. Ovinnikov, M. Rohrer, P. Rüttimann, R. Senn","Development of a Replacement for the Long Radial Probe in the Ring Cyclotron",86,1181
"MOP025","R. Dölling, J. Brutscher","Fast Recharging of Electrostatic Injection and Extraction Septa After Breakdown",90,1482
"MOP026","Y. Ebara, Y. Mikami, T. Morie, T. Tsurudome, J.Y. Yoshida, M. Hirabayashi, Y. Kumata, H. Tsutsui","Field Mapping of Sumitomo Superconducting Cyclotron",,1381
"MOP027","S. Nomura, Y. Aoki, H. Kitami, Y. Mikami, T. Takahashi","Development of a Pepper-Pot Emittance Meter for High Power Ion Beams",,1382
"MOP028","D.H. Ha, J.-S. Chai, Kh.M. Gad, M. Ghergherehchi, H.S. Kim, J.C. Lee, H. Namgoong","Design of 5.8 MHz RF Electrode for AMS Cyclotron",94,1501
"MOP029","D.H. Ha, J.-S. Chai, Kh.M. Gad, M. Ghergherehchi, H.S. Kim, J.C. Lee, H. Namgoong","Design and Manufacture of 10 kW, 83.2 MHz 4-way Power Combiner for Solid State Amplifier",97,1502
"MOP030","J.C. Lee, J.-S. Chai, Kh.M. Gad, M. Ghergherehchi, D.H. Ha, H.S. Kim, H. Namgoong","RF measurement of SKKUCY-10 RF Cavity for Impedance Matching",100,1505
"MOP031","H. Namgoong, J.-S. Chai, M. Ghergherehchi, D.H. Ha, H.S. Kim, J.C. Lee","Design of High Sensitive Magnet and Beam Dynamics for AMS Cyclotron",104,1521
"MOP032","M. Mohamadian, H. Afarideh, S. Babaee, H. Pashaei, N. Salmani, M. Ghergherehchi","Control System in 10 MeV Cyclotron Based on IoT",107,1881
"MOP033","F. Babagoli Moziraji, H. Afarideh, M. Ghergherehchi, M. Dehghan","Basic Design of a Modular RF Power System for a 10 MeV Cyclotron",,1626
"MOP034","P. Calvo, C. Oliver, A. Adelmann, M. Frey, A. Gsell, J. Snuverink","Beam Stripping Interactions Implemented in Cyclotrons with OPAL Simulation Code",110,1629
"MOP035","H.J. Zhang, K. Fan, Y. Yan, L.G. Zhang, Y.-N. Rao","Extraction Beam Orbit of a 250 MeV Superconducting Cyclotron*",114,1864
"MOP036","Q.G. Yao, B. Wang, B.M. Wu, W. Wu, L. Yang","The Magnetic Field Design of Cyclotron at IMP",117,1401
"THA01","J. Snuverink, A. Adelmann, C. Baumgarten, M. Frey","Precise Modelling and Large Scale Multiobjective Optimisation of Cyclotrons",285,1637
"THA02","A. Adelmann","Recent Developments of the Open Source Code OPAL",,1862
"THA03","W. Duckitt, J.K. Abraham","React Automation Studio: A New Face to Control Large  Scientific Equipment",286,1564
"THB01","L. Calabretta, D. Rifuggiato, M. Maggiore","Review of High Power Cyclotrons and Their Applications",290,1638
"THB02","V.L. Smirnov, S.B. Vorozhtsov","Production of 70 MeV Proton Beam in a Superconducting Cyclotron",295,1081
"THB03","Y.-N. Rao, R.A. Baartman, Y. Bylinskii, T. Planche, L.G. Zhang","Conceptual Design of TR100+: An Innovative Superconducting Cyclotron for Commercial Isotopes Production",299,1671
"THB04","C. Thiebaux, Y. Geerebaert, F. Magniette, P. Manigot, M. Verderi, B. Boyer, E. Delagnes, F.T. Gebreyohannes, O. Gevin, C. Koumeir, F. Poirier, F. Haddad, G. Blain, N. Michel, N. Servagent, T. Sounalet","Development of a Transparent Profiler Based on Secondary Electrons Emission for Charged Particle Beams",303,1241
"THC01","I.V. Kalagin, S.L. Bogomolov, S.N. Dmitriev, B. Gikal, G.G. Gulbekyan, I.A. Ivanenko, G.N. Ivanov, N.Yu. Kazarinov, M.V. Khabarov, Y.T. Oganessian, N.F. Osipov, S.V. Pashchenko, V.A. Semin, V.K. Utyonkov, A.V. Yeremin","SHE Factory: Cyclotron Facility for Super Heavy Elements Research",306,1121
"THC02","D.P. May, J. Arje, B.T. Roeder, A. Saastamoinen, F.P. Abegglen, H.L. Clark, G.J. Kim, G. Tabacaru","First Beams Produced by the Texas A&M University Radioactive-Beam Upgrade",311,1639
"THC03","H. Namgoong, J.-S. Chai, M. Ghergherehchi, D.H. Ha, H.S. Kim, J.C. Lee","Design of Accelerator Mass Spectrometry Based on a Cyclotron",315,1522
"THC04","C.R. Wolf, F.B. Beck, L. Franz, V.M. Neumaier","3D Printing for High Vacuum Applications",318,1361
"THD01","D. Mascali, G. Castro, L. Celona, S. Gammino, O. Leonardi, M. Mazzaglia, G. Torrisi, E. Naselli","Physics and Technology of Compact Plasma Traps",322,1221
"THD02","T. Kalvas, P. M.T. Heikkinen, H. A. Koivisto, E. Forton, W.J.G.M. Kleeven, J. Mandrillon, V. Nuttens","Central Region Upgrade for the Jyväskylä K130 Cyclotron",327,1582
"THD03","W.J.G.M. Kleeven, E. Forton","An Improved Concept for Self-Extraction Cyclotrons",331,1573
"TUA01","J.-M. Geets","Radioisotopes Production in Accelerators & Cyclotrons Use",,1921
"TUA02","S. Braccini, C. Belver-Aguilar, T.S. Carzaniga, G. Dellepiane, P. Haeffner, P. Scampoli","Novel Irradiation Methods for Theranostic Radioisotope Production With Solid Targets at the Bern Medical Cyclotron",128,1602
"TUA03","N.P. van der Meulen, R. Eichler, P.V. Grundler, R. Hasler, W. Hirzel, S. Joray, D.C. Kiselev, R. Sobbia, A. Sommerhalder, Z. Talip, H. Zhang, S. Braccini","The Use of PSI's IP2 Beam Line Towards Exotic Radionuclide Development and its Application Towards Proof-Of-Principle Preclinical and Clinical Studies",133,1624
"TUA04","M. Schulc, M. Antos, F. Brijar, M. Cuhra, T. Czakoj, M. Kostal, E. Losa, V. Rypar, J. Simon, S. Vadjak, Z. Matej, F. Mravec, F. Cvachovec","Characterization of Neutron Leakage Field Coming from 18O(p,n)18F Reaction in PET Production Cyclotron",137,1321
"TUA05","M. Ghergherehchi, J.-S. Chai, H. Afarideh","Vanadium-48 Production Yield Investigation Using TiO2 Nano Powder Targets",,1882
"TUB01","D. Winklehner, L. Bromberg, J.V. Minervini, A. Radovinsky","Status of the Development of a Fully Iron-free Cyclotron for Proton Beam Radiotherapy Treatment",,1963
"TUB02","O. Karamyshev, K. Bunyatov, S. Gurskiy, G.A. Karamysheva, D.P. Popov, G. Shirkov, S.G. Shirkov, V.L. Smirnov, S.B. Vorozhtsov, V. Malinin","JINR PROJECTS of CYCLOTRON FOR PROTON THERAPY",141,1677
"TUB03","E. van der Kraaij, J. Smeets, L. Bertora, A. Carrozzi, A. Serra, B. Oborn, S. Gantz, A. Hoffmann, L. Karsch, A. Lühr, J. Pawelke, S. Schellhammer","MRI-Guided-PT: Integrating an MRI in a Proton Therapy System",145,1583
"TUB04","S. Psoroulas, P. Fernandez Carmona, D. Meer, D.C. Weber","On-Line Dynamic Beam Intensity Control in a Proton Therapy Cyclotron",149,1670
"TUC01","M. Maggiore, P. Antonini, A. Lombardi, L. Pranovi, Z. Filipovski","Review and Current Status of the 70 MeV High Intensity Proton Cyclotron at Legnaro",249,1504
"TUC02","A. Denker, J. Bundesmann, T. Damerow, T. Fanselow, D. Hildebrand, U. Hiller, I. Kailouh, G. Kourkafas, S. Ozierenski, C. Rethfeldt, J. Roehrich, S. Seidel, C. Zimmer, D. Cordini, J. Heufelder, R. Stark, A. Weber","Status of the HZB Cyclotron",254,1161
"TUC03","B.N. Jones, S. Brandenburg, M.-J. van Goethem","AGOR Status Report",257,1761
"TUC04","H. Kanda, M. Fukuda, S. Hara, T. Hara, K. Hatanaka, K. Kamakura, H.W. Koay, S. Morinobu, Y. Morita, M. Nakao, K. Omoto, T. Saito, K. Takeda, H. Tamura, Y. Yasuda, T. Yorita","Status of the Cyclotron Facility at Research Center for Nuclear Physics",260,1675
"TUP001","S. Shin, T.-Y. Lee, G. Hahn, B.H. Oh, M. Chung","Beam Dynamics Code Development for High Power Cyclotron",,1623
"TUP004","J.K. Abraham, W. Duckitt","Integration of EtherCAT Hardware Into the EPICS Based Distributed Control System at iThemba LABS",153,1567
"TUP005","T. Ge, L.C. Cao, Z.H. Fu, S.G. Hou, B. Ji, H. Jiang, S.Q. Li, Y.Q. Li, Z.W. Liu, Y.L. Lv, G.F. Pan, L. Wang, L.P. Wen, Z.G. Yin, T.J. Zhang","Three Years Operation of CYCIAE-100",157,1662
"TUP006","F. Poirier, F. Bulteau-harel, T. Durand, X. Goiziou, C. Koumeir, A. Sengar, H. Trichet, S. Chiavassa, G. Delpon, G. Blain, M. Fattahi, F. Haddad, J. Vandenborre","The Injection and Chopper-Based System at Arronax  C70XP Cyclotron",160,1922
"TUP007","T. Fanselow, J. Bundesmann, A. Denker, U. Hiller, J.K. Abraham, J.L. Conradie, W. Duckitt","Operational Experience in the Treatment of Ocular Melanomas with a New Digital Low-level RF Control System",163,1162
"TUP008","M. Kreller, T. Knieß, S. Preusche","The Cyclotron TR-FLEX at the Center for Radiopharmaceutical Cancer Research at Helmholtz-Zentrum Dresden-Rossendorf",167,1627
"TUP009","J. Dabin, B. Adant, P. Cailliau, K. Ellis, E. Forton, J. Mandrillon, T.S. Ponter, P. Verbruggen","Cyclotron Cavity Pollution Recovery",170,1633
"TUP010","P. Antonini, A. Lombardi, M. Maggiore, L. Pranovi, L. Buriola","Buncher for the Optimization of the Injection of a 70  MeV Cyclotron",174,1635
"TUP011","G. D'Agostino, L. Calabretta, D. Rifuggiato, W.J.G.M. Kleeven","Upgrade of the Central Region of the Superconducting Cyclotron at INFN-LNS",178,1603
"TUP012","N.B. Ndlovu, P.P. Maleka, F.D. Smit, V. Lacoste, A. Boso, A. Buffler, D. Geduld, T. Hutton, T. Leadbeater","Upgrade of the iThemba LABS Neutron Beam Vault to a Metrology Facility",182,1863
"TUP013","S.M. Miliebari","Ione Cyclotron for Radiopharmaceuticals Production and Research",,1680
"TUP014","T. Matlocha","Deflecting System Upgrade Initial Simulations for 37 MeV Cyclotron at NPI Rez",186,1636
"TUP016","P.-A. Duperrex, P. Baumann, S. Joray, D.C. Kiselev, D. Laube, D. Reggiani","New Centering Beam Monitor for High Power Proton Beam Rotating Target",190,1803
"TUP017","O. Boldt, M. Eichel, S. Lucht, L. Netterdon, A. Roth, M. Seher, T. Stephani, M. Wiesner","Manufacturing and Commissioning of Cyclotrons in a Series Production at Varian",193,1630
"TUP018","G. Yang, X.L. Jia, G.F. Song, F. Wang, R.R. Johnson","Design of Gas Target for Medical Cyclotron",,1665
"TUP019","O. Felden, N. Demary, N.-O. Fröhlich, R. Gebel, Y. Valdau, M. Rimmler","Recent Extensions of JULIC for HBS Investigations",196,1673
"TUP020","J. Bundesmann, A. Denker, J. Holz auf der Heide","Beam Properties at the Experimental Target Station of the Proton Therapy in Berlin",200,1141
"TUP021","G. Kourkafas, J. Bundesmann, A. Denker, T. Fanselow, J. Roehrich, V.H. Ehrhardt, J. Gollrad, J. Heufelder, A. Weber","Towards FLASH Proton Irradiation at HZB",203,1821
"TUP022","J.-W. Kim, J. Kang, J.H. Kim, T.S. Shin","Status of a 70 MeV Cyclotron System for ISOL Driver of Rare Isotope Science Project in Korea",206,1561
"TUP023","X.W. Wang","RF system  R&D for Cyclotron at IMP",,1281
"TUP024","T. Yamazaki, Y. Nagatani, T. Adachi, Y. Miyake, A. Goto, J. Ohnishi, S. Kusuoka, T. Onda, Y. Kumata, H. Tsutsui","Muon Cyclotron for Transmission Muon Microscope",209,1676
"TUP025","H.A. Kassim, H.F. Akhdar, F.M. Alrumayan, A.M. Hendy","Feasibility Study for Converting the CS-30 Into a Variable Energy Cyclotron for Isotopes Production Using the Internal Target System",213,1461
"TUP026","A.M. Hendy, F.M. Alrumayan, H.A. Kassim","Embedded Local Controller for the CS-30 Cyclotron",216,1721
"TUP027","S.Y. Oh","Target System Development for Therapeutic Radioisotope Production",,1402
"TUP028","M.J. Kumwenda, I.J. Lugendo, S.J. Kim, J.Y. Park, M. Won, J.-K. Ahn, J. W. Lee","Bremsstrahlung Photons Emission in 28-GHz Electron Cyclotron Resonance Plasma",220,1571
"TUP029","C. Johnstone, R.C. Lanza, R.B. Agustsson, S. Boucher, S.V. Kutsaev, A.Yu. Smirnov","A 15-Mev/nucleon Iso-Cyclotron for Security and Radioisotope Production",224,1962
"TUP030","H.S. Kim, J.-S. Chai, Kh.M. Gad, M. Ghergherehchi [on leave], D.H. Ha, J.C. Lee, H. Namgoong","Reinforcement Learning Based RF Control System for Accelerator Mass Spectrometry",228,1441
"TUP031","Y.L. Lv, S. An, T. Cui, T. Ge [on leave], B. Ji [on leave], X.L. Jia [on leave], S.L. Wang, T.J. Zhang","Design and Construction Progress of Cyclotron  Based Proton Irradiation Facility for Space Science",231,1643
"TUP033","O. Karamyshev","Concept of 15 Mev Cyclotron for Medical Isotopes Production",234,1679
"TUP034","H. Okita, Y. Ishi, Y. Kuriyama, Y. Mori, T. Uesugi","Study of MERIT Ring for Intense Secondary Particle Production",238,1802
"TUP035","N. Kamiguchi, Y. Mikami, H. Murata, T. Takahashi, T. Tsurudome, J.Y. Yoshida, M. Hirabayashi, J. Kanakura, H. Oda, T. Tachikawa, Y. Kumata, H. Tsutsui","Development of a Center Region for New Sumitomo Cyclotron",241,1568
"TUP036","C. Hori, T. Aoki, T. Hae, H. Hiramoto, T. Seki","Optical Design of AVF Weak-Focusing Accelerator",243,1563
"TUP037","T. Hae, T. Aoki, H. Hiramoto, C. Hori, Y. Nakashima, F. Noda, T. Seki","Compact Cotangential Orbit Accelerator for Particle Therapy",246,1562
"WEA01","G.L. Sabbi","Future of High Field Superconducting Magnets",,1542
"WEA02","A.C. Caruso, L. Calabretta, G. Costa, G. Gallo, A. Longhitano, D. Rifuggiato, A. Spartà, G. Torrisi, E. Zappalà","The Developments of the RF System Related to the K-800 Superconducting Cyclotron Upgrade",263,1641
"WEA03","M. Fukuda, S. Hara, T. Hara, K. Hatanaka, K. Kamakura, H. Kanda, H.W. Koay, S. Morinobu, Y. Morita, K. Nagayama, M. Nakao, K. Omoto, T. Saito, K. Takeda, H. Tamura, D. Tomono, Y. Yasuda, T. Yorita","Design for Upgrading the RCNP AVF Cyclotron",,1674
"WEB01","J.-B. Lagrange, D.J. Kelliher, S. Machida, C.R. Prior, C.T. Rogers","Status of FFAs (Modelling and Existing/planned Machines)",267,1901
"WEB02","A. Adelmann","Surrogate Models for Particle Accelerators",,1861
"WEB03","C. Baumgarten","Factors Influencing the Vortex Effect in High-Intensity Cyclotrons",271,1843
"WEB04","H. Zhang, R. Eichler, J. Grillenberger, W. Hirzel, S. Joray, D.C. Kiselev, J.M. Schippers, J. Snuverink, R. Sobbia, A. Sommerhalder, Z. Talip, N.P. van der Meulen, L.J. Nevay","BDSIM Simulation of the Complete Radionuclide Production Beam Line from Beam Splitter to Target Station at the PSI Cyclotron Facility",276,1632
"WEB05","D. Winklehner","Beam dynamics and preliminary design of the RFQ Direct Injection Project",,1964
"WEC01","H.W. Koay, M. Fukuda, H. Kanda, M. Nakao, T. Yorita","Conceptual Design of Central Region for High-Temperature Superconducting Skeleton Cyclotron (HTS-SC)",280,1669
